Neighborhood Reporting Area,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code
HYDE PARK,"5,894","3,387","5,859",1.7,35,808,"2,579",333,9.80%,3.70%,3.00%,1.80%,1.10%,2.00%,25.00%,29.60%,12.90%,9.20%,4.60%,2.80%,2.50%,0.90%,0.80%,"5,894","3,594","3,387",207,26.30%,12.7,465.1,78751
JESTER,"4,974","2,329","4,974",2.1,0,"1,298","1,031",573,24.60%,5.30%,5.20%,6.20%,3.50%,1.30%,5.40%,16.30%,16.10%,18.10%,7.90%,5.80%,5.50%,2.80%,0.50%,"4,974","2,549","2,329",220,57.50%,1.3,"3,795.10",78750
JOHNSTON TERRACE,"1,854",599,"1,854",3.1,0,381,218,193,32.20%,9.80%,9.10%,7.70%,3.60%,3.50%,6.20%,18.90%,15.00%,11.10%,3.50%,3.90%,4.90%,2.40%,0.50%,"1,854",654,599,55,60.10%,2.9,640.3,78721
JOLLYVILLE,"19,103","9,067","19,086",2.1,17,"4,824","4,243","2,163",23.90%,5.50%,5.50%,5.70%,3.00%,1.30%,6.10%,18.00%,16.90%,16.20%,7.00%,5.30%,5.40%,2.70%,1.40%,"19,103","9,539","9,067",472,49.30%,5.2,"3,702.50",78729
LBJ,"2,624",794,"2,624",3.3,0,612,182,335,42.20%,9.80%,9.50%,10.20%,5.80%,3.40%,8.00%,15.40%,12.30%,10.70%,4.70%,3.60%,4.30%,1.80%,0.60%,"2,624",841,794,47,39.70%,1.6,"1,632.50",78724
MANSFIELD--RIVER PLACE,"8,545","3,491","8,545",2.4,0,"2,302","1,189","1,168",33.50%,7.20%,8.30%,7.70%,3.40%,1.00%,3.10%,11.90%,18.30%,17.90%,7.10%,6.00%,6.00%,1.70%,0.50%,"8,545","3,892","3,491",401,71.00%,0.9,"9,993.00",78734
MCKINNEY,"4,369","1,230","4,285",3.5,84,937,293,554,45.00%,9.50%,9.50%,7.60%,5.40%,3.00%,7.90%,19.60%,15.70%,12.30%,3.80%,2.40%,2.20%,0.70%,0.50%,"4,369","1,297","1,230",67,64.20%,2.8,"1,544.60",78747
MCNIEL,"23,322","11,764","23,160",2,162,"5,277","6,487","2,252",19.10%,5.60%,4.40%,4.20%,2.40%,1.60%,8.30%,26.50%,15.50%,13.60%,6.10%,4.50%,4.30%,2.00%,1.00%,"23,322","12,426","11,764",662,39.50%,5.4,"4,319.30",78729
MLK,"4,917","1,742","4,863",2.8,54,"1,045",697,529,30.40%,9.40%,8.30%,7.50%,4.10%,2.60%,8.40%,17.80%,12.80%,11.90%,4.70%,3.10%,4.70%,3.30%,1.30%,"4,917","2,021","1,742",279,42.00%,5,992.5,78721
MLK-183,"7,675","2,529","7,585",3,90,"1,656",873,750,29.70%,8.30%,8.10%,7.60%,4.20%,2.90%,7.20%,16.10%,12.90%,11.90%,4.80%,4.40%,6.00%,4.30%,1.40%,"7,675","2,772","2,529",243,54.70%,3.4,"2,246.10",78721
MONTOPOLIS,"10,638","3,152","10,539",3.3,99,"2,312",840,"1,288",40.90%,11.50%,10.00%,8.00%,4.20%,3.40%,8.90%,18.50%,13.10%,9.70%,3.70%,2.70%,3.60%,2.10%,0.50%,"10,638","3,357","3,152",205,46.80%,7.4,"1,446.30",78741
MUELLER,"2,070",936,"2,070",2.2,0,463,473,237,25.30%,10.80%,5.60%,3.00%,1.10%,1.30%,10.60%,31.00%,19.40%,8.90%,3.40%,2.50%,1.90%,0.40%,0.10%,"2,070","1,120",936,184,60.30%,2.8,726.6,78722
NACA,"28,604","9,578","28,532",3,72,"6,213","3,365","3,627",37.90%,11.20%,8.80%,6.50%,3.60%,3.00%,9.60%,21.30%,14.50%,10.10%,3.60%,2.60%,2.90%,1.70%,0.40%,"28,604","10,732","9,578","1,154",29.30%,14.6,"1,953.70",78758
NORTH BURNET,"4,472","2,554","4,471",1.8,1,777,"1,777",364,14.30%,5.90%,4.20%,2.00%,1.20%,4.00%,16.70%,39.80%,14.00%,6.70%,2.20%,2.10%,1.20%,0.20%,0.00%,"4,472","3,018","2,554",464,1.20%,2.1,"2,088.10",78758
NORTH LAMAR,"6,478","1,948","6,464",3.3,14,"1,371",577,857,44.00%,11.70%,9.00%,7.30%,4.30%,3.20%,9.40%,20.70%,14.40%,11.10%,3.50%,2.30%,2.00%,0.70%,0.30%,"6,478","2,180","1,948",232,26.70%,10.3,627.8,78753
NORTH LOOP,"5,072","2,506","5,045",2,27,725,"1,781",288,11.50%,4.50%,2.60%,2.10%,1.30%,2.00%,24.40%,29.10%,15.00%,8.80%,3.40%,2.50%,2.10%,1.40%,0.80%,"5,072","2,758","2,506",252,27.90%,8.2,618.6,78751
NORTH SHOAL CREEK,"3,471","1,948","3,467",1.8,4,736,"1,212",283,14.50%,5.80%,3.70%,2.40%,1.50%,1.00%,6.60%,24.90%,15.00%,12.70%,5.90%,5.90%,7.30%,5.70%,1.60%,"3,471","2,139","1,948",191,44.10%,5.3,655.9,78757
NORTH UNIVERSITY,"4,791","2,484","4,295",1.7,496,326,"2,158",92,3.70%,1.50%,1.20%,0.60%,0.40%,9.70%,47.90%,23.60%,6.00%,3.40%,2.00%,1.90%,1.30%,0.20%,0.20%,"4,791","2,684","2,484",200,13.00%,20.3,235.9,78705
NORTHWEST HILLS,"11,090","6,037","11,084",1.8,6,"2,391","3,646",906,15.00%,4.30%,4.20%,3.60%,1.80%,1.80%,14.10%,24.50%,12.00%,10.70%,5.70%,4.80%,6.00%,4.60%,2.10%,"11,090","6,479","6,037",442,39.10%,7.8,"1,427.10",78759
OLD ENFIELD,"1,170",584,"1,168",2,2,247,337,106,18.20%,5.60%,3.60%,5.00%,2.30%,0.50%,7.70%,21.50%,16.80%,14.40%,5.00%,6.20%,7.40%,2.10%,2.10%,"1,170",634,584,50,54.80%,5.6,209.9,78703
