Neighborhood Reporting Area,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code
ST. JOHN,"9,348","3,339","9,308",2.8,40,"1,766","1,573","1,118",33.50%,11.00%,8.90%,6.10%,3.40%,3.60%,12.40%,23.00%,13.00%,9.30%,3.10%,2.00%,1.80%,1.20%,1.20%,"9,348","3,775","3,339",436,11.40%,11.7,798,78752
SWEET BRIAR,"5,746","2,521","5,740",2.3,6,"1,071","1,450",495,19.60%,6.10%,5.80%,4.60%,2.50%,2.60%,18.00%,24.80%,12.30%,9.60%,4.70%,3.20%,4.10%,1.40%,0.30%,"5,746","2,695","2,521",174,27.50%,9.4,611,78745
TECH RIDGE,"15,842","6,499","15,832",2.4,10,"3,613","2,886","1,913",29.40%,7.40%,6.80%,6.50%,4.00%,2.50%,9.00%,21.40%,16.00%,13.40%,4.80%,3.20%,3.30%,1.30%,0.30%,"15,842","7,202","6,499",703,45.70%,3.6,"4,380.50",78753
TRIANGLE-STATE,"1,707",840,"1,460",1.7,247,152,688,45,5.40%,1.50%,0.80%,0.80%,1.20%,3.60%,44.70%,26.40%,6.90%,6.20%,3.10%,2.20%,1.50%,0.80%,0.20%,"1,707",926,840,86,3.70%,5.5,311.3,78751
UNIVERSITY HILLS,"4,665","1,787","4,643",2.6,22,"1,084",703,433,24.20%,6.90%,6.20%,6.50%,3.60%,2.40%,7.70%,18.50%,12.70%,13.20%,5.70%,5.40%,7.00%,3.80%,0.70%,"4,665","1,950","1,787",163,57.50%,6.4,726.4,78723
UPPER BOGGY CREEK,"5,302","2,584","5,299",2.1,3,968,"1,616",394,15.20%,5.60%,3.30%,2.90%,1.40%,1.10%,12.20%,31.30%,15.80%,10.30%,5.10%,3.70%,3.30%,2.50%,1.70%,"5,302","2,809","2,584",225,44.10%,7.4,719.7,78722
UT,"7,246",3,6,2,"7,240",0,3,0,0.00%,0.00%,0.00%,0.00%,0.70%,72.10%,26.40%,0.50%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,"7,246",3,3,0,0.00%,16.4,443,78712
VILLAGE AT WESTERN OAKS,"10,163","4,035","10,163",2.5,0,"2,763","1,272","1,579",39.10%,8.20%,8.50%,7.10%,3.80%,1.20%,3.30%,14.60%,19.50%,16.10%,6.10%,4.40%,4.10%,2.10%,1.00%,"10,163","4,114","4,035",79,75.00%,5.7,"1,780.30",78749
WALNUT CREEK--PIONEER HILL,"3,012","1,394","3,006",2.2,6,671,723,331,23.70%,8.70%,6.00%,4.00%,2.30%,1.90%,11.10%,27.90%,14.70%,11.30%,4.20%,2.90%,3.20%,1.50%,0.40%,"3,012","1,541","1,394",147,21.40%,1.6,"1,903.90",78753
WEST CONGRESS,"2,674","1,072","2,674",2.5,0,583,489,295,27.50%,8.20%,6.60%,4.70%,2.90%,2.90%,10.30%,22.10%,15.10%,11.60%,5.40%,4.00%,3.50%,1.90%,0.60%,"2,674","1,201","1,072",129,39.80%,7.1,377.1,78745
